target_0	fcon_0	fcon_1	fcon_2	fcon_3	fcon_4	fcon_5	fcon_6	fcon_7	fcon_8	fcon_9	fcat_0	fcat_1	fcat_2
-0.67009723	0.9696525	0.40345824	0.81325674	0.19192868	0.4917643	0.8749379	0.32607383	0.22482651	0.4106034	0.8922676	level-0	level-0	level-4
-1.966933	0.5584318	0.7421115	0.9306472	0.879273	0.4478581	0.31818312	0.64289093	0.79228395	0.46955276	0.5801626	level-1	level-0	level-4
-8.20108	0.05206895	0.0754987	0.39215595	0.77448946	0.42679	0.553819	0.108098924	0.13718039	0.8098264	0.4502489	level-0	level-1	level-4
5.536027	0.8865466	0.14859563	0.20165926	0.17145485	0.8484312	0.19743234	0.77047014	0.55212283	0.6587506	0.5593566	level-1	level-1	level-4
2.4363446	0.8835859	0.03665161	0.06860536	0.23586744	0.25084317	0.73378134	0.9100634	0.08265972	0.3606794	0.3969779	level-0	level-2	level-4
-0.20843318	0.21182865	0.79168004	0.45450175	0.2059142	0.5691962	0.05552137	0.47405207	0.41803968	0.17653733	0.07759327	level-1	level-2	level-4
-20.232313	0.31182247	0.21107209	0.34384346	0.81202424	0.5922177	0.95582634	0.2973898	0.48390985	0.32669955	0.11741084	level-0	level-0	level-0
-24.902721	0.64409435	0.044004142	0.66382074	0.8092588	0.9572436	0.52357644	0.5746602	0.035861313	0.39841837	0.44716728	level-1	level-0	level-0
-13.122395	0.7675099	0.823116	0.3956666	0.7747568	0.3130263	0.30321705	0.40657926	0.38986635	0.009417236	0.11919117	level-0	level-1	level-0
-15.633416	0.59376335	0.0859828	0.5825222	0.52765185	0.4324721	0.7021823	0.040483892	0.77948517	0.1416626	0.08398074	level-1	level-1	level-0
-4.5118947	0.12482536	0.43826884	0.8832661	0.16089976	0.6719707	0.9304389	0.0479334	0.036560595	0.25683618	0.06956047	level-0	level-2	level-0
-3.1430523	0.5694802	0.5581279	0.492374	0.043766856	0.9412944	0.883611	0.3767277	0.5941611	0.03931731	0.6766188	level-1	level-2	level-0
2.9725814	0.14875126	0.79376966	0.5619231	0.76459944	0.89221364	0.056853056	0.6422622	0.34067577	0.7333142	0.15215021	level-0	level-0	level-1
0.3061698	0.3378561	0.86706924	0.09569776	0.43346584	0.10424119	0.13284588	0.07556468	0.24071932	0.34230232	0.47221267	level-1	level-0	level-1
-6.3082323	0.8789736	0.22925663	0.70793694	0.7478437	0.8022822	0.77977574	0.8559647	0.019514441	0.4130658	0.39659834	level-0	level-1	level-1
3.4760854	0.52221113	0.7632722	0.5344575	0.42642283	0.39663178	0.058522522	0.4058829	0.18790895	0.297576	0.20179427	level-1	level-1	level-1
-3.1637025	0.14969921	0.74262244	0.022803009	0.581486	0.31645817	0.6678381	0.14297217	0.8301812	0.8321062	0.9926709	level-0	level-2	level-1
5.9888973	0.796837	0.99384105	0.56294256	0.017353415	0.75029564	0.6575732	0.10391486	0.5131617	0.66368896	0.9380345	level-1	level-2	level-1
-10.038061	0.16778481	0.89588153	0.81481916	0.38406384	0.25949752	0.308025	0.6269926	0.48582417	0.67987543	0.5167382	level-0	level-0	level-2
-14.384554	0.6096222	0.19698828	0.7345735	0.34955776	0.796969	0.72639656	0.17877293	0.11654359	0.09476888	0.7572387	level-1	level-0	level-2
-12.794415	0.7075725	0.9445391	0.1233021	0.63809174	0.688823	0.79497504	0.4306224	0.13255787	0.33099633	0.9825741	level-0	level-1	level-2
-6.255194	0.36140853	0.08328211	0.4696445	0.15052438	0.64506364	0.59865344	0.87673044	0.8088669	0.72276336	0.6300441	level-1	level-1	level-2
-27.673775	0.8095577	0.54222995	0.8844476	0.9225259	0.36879933	0.9809856	0.62466794	0.9574943	0.86092705	0.729102	level-0	level-2	level-2
-18.71141	0.01762557	0.7410529	0.41806036	0.85065854	0.12892765	0.5108456	0.5120628	0.40636384	0.5637222	0.32492143	level-1	level-2	level-2
-12.996306	0.22821939	0.26809448	0.14961344	0.84700954	0.45489913	0.8783837	0.8083689	0.642187	0.30804247	0.4640355	level-0	level-0	level-3
3.621202	0.3462749	0.864359	0.07208955	0.47974825	0.5404369	0.13506305	0.7647278	0.1835658	0.67047	0.20102	level-1	level-0	level-3
4.8994	0.7093164	0.60326856	0.65692675	0.054127097	0.5752051	0.81858635	0.21815896	0.753005	0.45803827	0.09354675	level-0	level-1	level-3
-14.397162	0.045008898	0.2187764	0.8009706	0.99632734	0.1397292	0.763022	0.717902	0.79322034	0.5957743	0.44134164	level-1	level-1	level-3
2.5503457	0.0036951303	0.9197894	0.19723105	0.2016409	0.90499544	0.55313927	0.97421587	0.091208935	0.6260208	0.43537366	level-0	level-2	level-3
5.875968	0.8745399	0.58195037	0.07640153	0.24740386	0.44383633	0.54915375	0.024129808	0.89894736	0.41344064	0.12656075	level-1	level-2	level-3
-3.3207972	0.63824624	0.34012628	0.27035946	0.78172946	0.76708686	0.3331412	0.42672998	0.7119412	0.99693143	0.91073966	level-0	level-0	level-4
5.5852118	0.64389163	0.5788354	0.36040348	0.08882785	0.7028876	0.02423346	0.916983	0.8608115	0.8478808	0.009494603	level-1	level-0	level-4
1.768811	0.4150781	0.60658723	0.009832025	0.036637068	0.0843513	0.579742	0.02015537	0.93159544	0.3198011	0.8826759	level-0	level-1	level-4
3.2120826	0.5543766	0.8930566	0.43396544	0.55961686	0.20559913	0.16599864	0.72361565	0.81761956	0.8261065	0.9352958	level-1	level-1	level-4
-5.5657496	0.16845036	0.36161786	0.6962309	0.96231836	0.26931906	0.5726534	0.9972532	0.23156959	0.8287412	0.16321969	level-0	level-2	level-4
5.4226303	0.15802884	0.42737436	0.4782377	0.46619332	0.46710986	0.9565497	0.93384963	0.7974078	0.5160158	0.5860101	level-1	level-2	level-4
-16.79801	0.0723595	0.26970983	0.9279542	0.3614785	0.35436577	0.2986923	0.7762837	0.04209602	0.9064626	0.56980145	level-0	level-0	level-0
-21.400154	0.3638981	0.9370852	0.8338126	0.87129635	0.8447874	0.8695448	0.7496871	0.6230975	0.1796754	0.025323391	level-1	level-0	level-0
-25.2658	0.3528427	0.569618	0.121086776	0.6744268	0.07491684	0.55202526	0.23972982	0.27573895	0.92726934	0.45562088	level-0	level-1	level-0
-11.803681	0.40532732	0.5442551	0.09369254	0.7865829	0.6098329	0.09907061	0.33695287	0.7027588	0.3692693	0.31651503	level-1	level-1	level-0
-21.734245	0.015065789	0.90294385	0.18303424	0.94745266	0.255539	0.8964438	0.86548144	0.34503615	0.5278365	0.0908165	level-0	level-2	level-0
-12.003181	0.68330264	0.2599123	0.5415269	0.62917966	0.5435985	0.011498451	0.5378843	0.6218972	0.8464971	0.69230825	level-1	level-2	level-0
1.0714188	0.13863593	0.68737984	0.12855452	0.9632454	0.74492526	0.46795273	0.82018316	0.4521206	0.14970607	0.18800426	level-0	level-0	level-1
-7.4868608	0.6157766	0.5601727	0.81040996	0.664233	0.12804049	0.5479215	0.072425604	0.7777287	0.7659164	0.8247797	level-1	level-0	level-1
1.9658377	0.5454636	0.68211985	0.30524433	0.49883264	0.14904189	0.76068795	0.3765152	0.66580486	0.3807816	0.10932928	level-0	level-1	level-1
7.276119	0.57581115	0.012152493	0.17646194	0.21754819	0.01316458	0.35852474	0.639587	0.9989017	0.10146499	0.04613799	level-1	level-1	level-1
1.4083302	0.972509	0.19623095	0.21775275	0.63809365	0.6893189	0.08648306	0.91269255	0.1413436	0.11230844	0.61868566	level-0	level-2	level-1
7.8345737	0.91081816	0.4680425	0.6750876	0.47967577	0.31922948	0.058312297	0.30914092	0.84301966	0.508893	0.24051523	level-1	level-2	level-1
-6.84724	0.23176104	0.5401323	0.11723173	0.65349877	0.93712	0.1914587	0.36060882	0.25648403	0.24486321	0.3983227	level-0	level-0	level-2
-23.587914	0.13391036	0.62290436	0.35992342	0.9169296	0.8753281	0.7729965	0.0065352917	0.62569624	0.5001427	0.64919484	level-1	level-0	level-2
-5.710472	0.091442645	0.254013	0.6127558	0.18011332	0.3954174	0.5072143	0.21374488	0.1736955	0.38406575	0.6402428	level-0	level-1	level-2
-1.2768857	0.46188343	0.33662182	0.2862209	0.25549114	0.24214995	0.428877	0.92549294	0.9378036	0.06276798	0.9879861	level-1	level-1	level-2
-1.8969867	0.078785	0.76486975	0.177728	0.06465024	0.25919342	0.22459412	0.8225492	0.8501992	0.77718806	0.54279065	level-0	level-2	level-2
-15.877762	0.36743438	0.11338377	0.6535249	0.7817577	0.2558769	0.40837032	0.7596873	0.29474378	0.5872671	0.7978387	level-1	level-2	level-2
-13.508056	0.7443697	0.7904447	0.17145121	0.86804515	0.8028757	0.74656236	0.21707976	0.03092295	0.71308255	0.24650943	level-0	level-0	level-3
-11.301127	0.6579705	0.5472437	0.06421167	0.7175251	0.979668	0.8597281	0.9377413	0.6109526	0.61585325	0.25055164	level-1	level-0	level-3
4.7095346	0.3501889	0.08030933	0.9681693	0.012584746	0.078314185	0.06063229	0.58567554	0.4310394	0.9394046	0.91385365	level-0	level-1	level-3
-1.9725215	0.81999487	0.8501227	0.11119813	0.5757109	0.62963074	0.6868184	0.6162641	0.70781505	0.38669956	0.7360502	level-1	level-1	level-3
-1.1180232	0.9521934	0.5828934	0.24094838	0.77914625	0.7189316	0.0289011	0.6523631	0.35968697	0.41464502	0.00053077936	level-0	level-2	level-3
-15.133517	0.8880172	0.5486146	0.8146997	0.9375256	0.45748436	0.6111686	0.42735928	0.71902764	0.9236296	0.10004002	level-1	level-2	level-3
-1.5632446	0.043470204	0.89124596	0.014096737	0.11726564	0.6647258	0.39135176	0.5934075	0.010697484	0.68341345	0.1973747	level-0	level-0	level-4
3.494096	0.8788292	0.16901207	0.23245507	0.66460663	0.40581542	0.016299069	0.9346155	0.38241345	0.49602306	0.72157145	level-1	level-0	level-4
3.5750406	0.9477188	0.71969223	0.578854	0.5779192	0.85746276	0.43896443	0.6485225	0.39520895	0.29409015	0.9128087	level-0	level-1	level-4
-2.504191	0.7130013	0.77590287	0.3158542	0.16007507	0.38875818	0.7890746	0.42881036	0.29664642	0.5541958	0.28091687	level-1	level-1	level-4
-3.1264577	0.81096035	0.6335454	0.7322654	0.6953661	0.106047094	0.76319176	0.16645354	0.8091358	0.8336255	0.891134	level-0	level-2	level-4
9.861226	0.33969867	0.3779384	0.6957565	0.073519945	0.3755507	0.7269756	0.9405912	0.87406856	0.8886888	0.25148177	level-1	level-2	level-4
-20.391659	0.9378228	0.9237663	0.3770569	0.8195132	0.8346564	0.82525194	0.88439655	0.0073948503	0.559678	0.44894874	level-0	level-0	level-0
-20.808409	0.6009596	0.82807857	0.8797083	0.61362624	0.7551296	0.09921563	0.60486907	0.27894408	0.84948057	0.30075788	level-1	level-0	level-0
-15.113296	0.30097127	0.8763156	0.016856074	0.6871844	0.6468562	0.26785535	0.8365542	0.57926637	0.8384197	0.71591187	level-0	level-1	level-0
-18.154749	0.72039074	0.06607878	0.7751988	0.5665225	0.29148865	0.78123695	0.81937754	0.20985466	0.18338406	0.41489893	level-1	level-1	level-0
-3.3592155	0.06613827	0.18925983	0.8157078	0.49692363	0.27737874	0.1765055	0.7238219	0.45138896	0.2798106	0.6353959	level-0	level-2	level-0
-18.225801	0.37936866	0.46946347	0.19302976	0.5460131	0.7912772	0.8794551	0.9375612	0.8861476	0.32473803	0.1983844	level-1	level-2	level-0
6.270987	0.7118054	0.3868727	0.21243757	0.055722058	0.71932477	0.56292367	0.69734424	0.4880013	0.69396734	0.62383944	level-0	level-0	level-1
-11.252713	0.39874703	0.6944945	0.66385245	0.8705441	0.3969577	0.97817314	0.21370506	0.68101966	0.8182197	0.25892335	level-1	level-0	level-1
-0.48878258	0.59450746	0.011341572	0.17156792	0.7675518	0.39304757	0.17549962	0.7984435	0.035416186	0.20469666	0.6874274	level-0	level-1	level-1
10.496814	0.32524318	0.7757342	0.3818429	0.09395814	0.46612304	0.5095982	0.97297966	0.33123595	0.7271533	0.205809	level-1	level-1	level-1
